trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 1.0}",25,0,-49.40295759520154,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.005, 'e': 0.9999875000260416}",25,0,-102.30544479685825,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.005, 'e': 0.9999500004166653}",20,0,-72.56984742588786,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.005, 'e': 0.9998875021093592}",25,0,-97.39586992392606,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.005, 'e': 0.9998000066665778}",25,0,-180.4646119755003,"{0: 11, 1: 2, 2: 8, 3: 3, 4: 1}",0
6,False,"{'a': 0.005, 'e': 0.9996875162757026}",25,0,-65.49398614173022,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.005, 'e': 0.9995500337489875}",35,0,-226.03434351507738,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 5}",0
8,False,"{'a': 0.005, 'e': 0.9993875625234886}",30,0,-38.078787958329336,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.005, 'e': 0.9992001066609779}",20,0,-38.35711579850086,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.005, 'e': 0.9989876708478425}",20,0,-86.1830431354895,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.005, 'e': 0.9987502603949663}",30,0,-239.74388296199797,"{0: 16, 1: 4, 2: 4, 3: 2, 4: 4}",0
12,False,"{'a': 0.005, 'e': 0.9984878812375985}",25,0,-97.27074585289179,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.005, 'e': 0.9982005399352042}",20,8,-38.85699155994151,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.005, 'e': 0.9978882436713011}",35,12,-45.24534443561802,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 0}",1
15,False,"{'a': 0.005, 'e': 0.9975510002532796}",35,0,-173.0414621722288,"{0: 21, 1: 1, 2: 11, 3: 0, 4: 2}",0
16,False,"{'a': 0.005, 'e': 0.9971888181122075}",20,0,-81.5030213159879,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.005, 'e': 0.9968017063026194}",20,0,-30.483846324752186,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.005, 'e': 0.9963896745022904}",30,0,-234.6153418838704,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 4}",0
19,False,"{'a': 0.005, 'e': 0.9959527330119943}",20,0,-101.28846043313195,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.005, 'e': 0.9954908927552453}",25,0,-148.01901024236122,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
21,False,"{'a': 0.005, 'e': 0.9950041652780258}",20,0,-134.22287912199147,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
22,False,"{'a': 0.005, 'e': 0.9944925627484974}",20,0,-163.59990895897164,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
