trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-198.43056208159499,"{0: 18, 1: 5, 2: 7, 3: 4, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,0,-224.54189691573094,"{0: 8, 1: 2, 2: 12, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.5403023058681397}",20,0,-92.41072982730832,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,1,-11.863681719191785,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': -0.4161468365471424}",25,0,-126.76834349529695,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': -0.8011436155469337}",30,0,-82.59467966319828,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': -0.9899924966004454}",20,0,-81.6371890817992,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': -0.9364566872907963}",30,0,-153.96301010843337,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': -0.6536436208636119}",25,0,-135.58259319467507,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': -0.2107957994307797}",20,0,11.586712841606898,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.28366218546322625}",20,0,-73.23940506619277,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.70866977429126}",25,0,-156.04964200357682,"{0: 12, 1: 0, 2: 11, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.960170286650366}",20,0,-175.72472342421293,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9765876257280235}",25,0,-83.87505610476498,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7539022543433046}",25,0,-49.722569295028784,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.3466353178350258}",30,0,-213.81799974517557,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': -0.14550003380861354}",20,0,-123.60055879940569,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': -0.6020119026848236}",25,0,-46.15650348180636,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': -0.9111302618846769}",35,0,-340.65354167966893,"{0: 9, 1: 6, 2: 14, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': -0.9971721561963784}",30,0,-110.55004924075281,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-124.24728586070367,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-118.23713233012414,"{0: 9, 1: 1, 2: 8, 3: 2, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-88.99346390904735,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-178.38746074517954,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-125.05978848688095,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-158.2591745466462,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-200.82001255175766,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-77.17107680630164,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,6,-133.06591377135643,"{0: 13, 1: 4, 2: 3, 3: 3, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-146.29956138246152,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
